comuna	sexo	edad	defunciones
Aisén	Hombre	0	6
Aisén	Hombre	1	1
Aisén	Hombre	5	1
Aisén	Hombre	13	2
Aisén	Hombre	14	1
Aisén	Hombre	15	1
Aisén	Hombre	16	1
Aisén	Hombre	17	2
Aisén	Hombre	18	3
Aisén	Hombre	19	4
Aisén	Hombre	20	4
Aisén	Hombre	21	5
Aisén	Hombre	22	2
Aisén	Hombre	23	8
Aisén	Hombre	24	1
Aisén	Hombre	25	1
Aisén	Hombre	26	1
Aisén	Hombre	27	5
Aisén	Hombre	28	9
Aisén	Hombre	29	1
Aisén	Hombre	30	5
Aisén	Hombre	31	2
Aisén	Hombre	32	4
Aisén	Hombre	33	2
Aisén	Hombre	34	2
Aisén	Hombre	35	4
Aisén	Hombre	36	7
Aisén	Hombre	37	1
Aisén	Hombre	38	6
Aisén	Hombre	39	5
Aisén	Hombre	40	3
Aisén	Hombre	41	3
Aisén	Hombre	42	11
Aisén	Hombre	43	9
Aisén	Hombre	44	10
Aisén	Hombre	45	6
Aisén	Hombre	46	8
Aisén	Hombre	47	13
Aisén	Hombre	48	16
Aisén	Hombre	49	10
Aisén	Hombre	50	11
Aisén	Hombre	51	7
Aisén	Hombre	52	18
Aisén	Hombre	53	14
Aisén	Hombre	54	11
Aisén	Hombre	55	19
Aisén	Hombre	56	18
Aisén	Hombre	57	12
Aisén	Hombre	58	17
Aisén	Hombre	59	10
Aisén	Hombre	60	12
Aisén	Hombre	61	16
Aisén	Hombre	62	18
Aisén	Hombre	63	18
Aisén	Hombre	64	24
Aisén	Hombre	65	8
Aisén	Hombre	66	16
Aisén	Hombre	67	18
Aisén	Hombre	68	16
Aisén	Hombre	69	13
Aisén	Hombre	70	17
Aisén	Hombre	71	19
Aisén	Hombre	72	13
Aisén	Hombre	73	24
Aisén	Hombre	74	13
Aisén	Hombre	75	16
Aisén	Hombre	76	15
Aisén	Hombre	77	26
Aisén	Hombre	78	12
Aisén	Hombre	79	20
Aisén	Hombre	80	28
Aisén	Hombre	81	16
Aisén	Hombre	82	24
Aisén	Hombre	83	15
