comuna	edad	defunciones
Aisén	0	15
Aisén	1	3
Aisén	2	1
Aisén	5	2
Aisén	8	2
Aisén	10	1
Aisén	13	2
Aisén	14	1
Aisén	15	2
Aisén	16	2
Aisén	17	4
Aisén	18	3
Aisén	19	4
Aisén	20	4
Aisén	21	6
Aisén	22	2
Aisén	23	9
Aisén	24	3
Aisén	25	2
Aisén	26	2
Aisén	27	5
Aisén	28	10
Aisén	29	1
Aisén	30	7
Aisén	31	2
Aisén	32	4
Aisén	33	4
Aisén	34	2
Aisén	35	5
Aisén	36	8
Aisén	37	2
Aisén	38	9
Aisén	39	7
Aisén	40	5
Aisén	41	4
Aisén	42	13
Aisén	43	9
Aisén	44	12
Aisén	45	8
Aisén	46	12
Aisén	47	13
Aisén	48	23
Aisén	49	11
Aisén	50	14
Aisén	51	8
Aisén	52	22
Aisén	53	19
Aisén	54	16
Aisén	55	25
Aisén	56	22
Aisén	57	15
Aisén	58	24
Aisén	59	17
Aisén	60	16
Aisén	61	19
Aisén	62	30
Aisén	63	28
Aisén	64	32
Aisén	65	18
Aisén	66	25
Aisén	67	28
Aisén	68	23
Aisén	69	17
Aisén	70	31
Aisén	71	34
Aisén	72	23
Aisén	73	36
Aisén	74	23
Aisén	75	35
Aisén	76	29
Aisén	77	35
Aisén	78	23
Aisén	79	29
Aisén	80	45
Aisén	81	32
Aisén	82	40
Aisén	83	29
Aisén	84	41
Aisén	85	27
Aisén	86	32
Aisén	87	19
Aisén	88	30
Aisén	89	22
Aisén	90	19
Aisén	91	20
Aisén	92	14
Aisén	93	15
Aisén	94	16
Aisén	95	8
Aisén	96	15
Aisén	97	10
Aisén	98	4
Aisén	99	4
Aisén	100	3
Aisén	101	2
Aisén	102	4
Aisén	103	1
Aisén	105	1
Algarrobo	0	9
Algarrobo	7	1
Algarrobo	10	1
Algarrobo	15	3
Algarrobo	21	1
Algarrobo	22	1
Algarrobo	23	2
Algarrobo	25	2
Algarrobo	26	1
Algarrobo	27	1
Algarrobo	28	2
Algarrobo	29	5
Algarrobo	30	3
Algarrobo	32	3
Algarrobo	34	2
Algarrobo	35	1
Algarrobo	36	2
Algarrobo	37	2
Algarrobo	38	1
Algarrobo	39	4
Algarrobo	41	4
Algarrobo	42	7
Algarrobo	43	2
Algarrobo	44	4
Algarrobo	45	4
Algarrobo	46	4
Algarrobo	47	4
Algarrobo	48	6
Algarrobo	49	6
Algarrobo	50	3
Algarrobo	51	7
Algarrobo	52	13
Algarrobo	53	9
Algarrobo	54	8
Algarrobo	55	9
Algarrobo	56	12
Algarrobo	57	8
Algarrobo	58	7
Algarrobo	59	19
Algarrobo	60	17
Algarrobo	61	12
Algarrobo	62	7
Algarrobo	63	14
Algarrobo	64	11
Algarrobo	65	17
Algarrobo	66	23
Algarrobo	67	18
Algarrobo	69	16
