comuna	sexo	p50	p25	p75	p100	n
Recoleta	Mujer	81	68	88	109	5839
Cañete	Hombre	70	55	82	103	1535
Tiltil	Hombre	72	59	82	100	578
Maipú	Hombre	71	59	81	111	13382
Lo Barnechea	Hombre	75	63	86	104	1880
Rancagua	Hombre	71	58	81	105	8646
Puerto Montt	Hombre	69	56	80	105	7611
Padre Hurtado	Mujer	77	66	86	107	1504
San Joaquín	Hombre	74	61	83	106	3861
Peñaflor	Hombre	73	60	82	101	2868
San Bernardo	Hombre	70	57	80	111	9506
Los Álamos	Hombre	72	58	82	104	869
Iquique	Hombre	69	56	80	108	6420
Puente Alto	Hombre	69	57	79	112	14586
Coquimbo	Hombre	73	61	82	108	7111
Coronel	Hombre	71	59	82	105	3831
La Granja	Mujer	80	67	88	107	3998
Santiago	Hombre	71	57	82	104	8615
Temuco	Hombre	72	58	82	106	9048
Nancagua	Hombre	74	62	84	104	654
La Pintana	Hombre	67	54	77	104	5970
Puerto Octay	Hombre	72	61	82	99	371
Colina	Hombre	68	52	79	104	3203
Combarbalá	Mujer	83	73	90	106	504
Cerrillos	Hombre	72	58	83	102	2518
Antofagasta	Hombre	68	57	79	107	11505
San Miguel	Hombre	75	63	85	104	4503
Quilicura	Hombre	66	51	77	101	4009
Maipú	Mujer	79	67	88	110	13109
Santa Bárbara	Hombre	75	63.75	85	104	624
Arica	Hombre	72	59	81	105	8150
Peñalolén	Hombre	71	58	81	105	7158
Copiapó	Hombre	72	59	82	104	4733
Renca	Hombre	69	56	79	103	4841
Buin	Hombre	72	59	82	104	2927
San Pedro de la Paz	Hombre	71	57	81	102	3289
Lo Espejo	Hombre	69	56	80.25	102	4388
San Javier	Hombre	74	62	83	101	1892
Quinta Normal	Hombre	73	61	83	103	4474
Contulmo	Mujer	79	66	88	102	201
Estación Central	Mujer	80	68	89	107	4574
Calama	Hombre	66	52	78	109	4553
Hualaihué	Hombre	72	56	82	98	357
Lota	Hombre	71	61	82	102	1975
San Clemente	Hombre	74	61	83	105	1671
Castro	Hombre	69	53	81	107	1783
Alto Hospicio	Hombre	64	49	74	104	2079
Los Sauces	Hombre	74	59	83	99	382
Conchalí	Hombre	73	58	83	107	5379
Hijuelas	Hombre	75	63.25	84	103	618
Punta Arenas	Hombre	72	60	81	105	5172
Peñalolén	Mujer	78	67	87	107	6605
Arica	Mujer	78	66	87	110	6602
Puerto Montt	Mujer	77	64	86	123	5959
Quillota	Hombre	74	62	84	106	3723
San Fernando	Hombre	73	61	83	103	2601
Coronel	Mujer	77	65	86	106	3353
Viña del Mar	Hombre	76	64	85	107	12713
La Pintana	Mujer	73	62	83	105	4737
María Pinto	Hombre	73	60	84	105	452
Linares	Hombre	73	60	82	103	3762
Curacaví	Hombre	75	63	84	108	1183
San Pedro	Hombre	76	64	84	107	373
Santiago	Mujer	81	67	89	112	8439
La Florida	Hombre	73	61	82	106	11462
Catemu	Hombre	74	62	84	103	560
Antofagasta	Mujer	77	64	86	107	9932
Los Ángeles	Hombre	73	59	83	103	7096
Alto Hospicio	Mujer	68	55	80	107	1494
Mostazal	Hombre	73	60	82	101	878
Los Sauces	Mujer	78.5	66	87	103	304
Alto Biobío	Mujer	73	55.5	83	105	143
Chiguayante	Hombre	72	60	82	104	2465
Angol	Hombre	73	60	83	103	2194
Arauco	Hombre	74	60	83	101	1266
Valdivia	Mujer	80	68	88	106	5389
Ercilla	Hombre	71	56	82.75	104	450
Chillán	Hombre	72	60	82	106	6854
Freire	Hombre	74	62	83	99	1116
Quilleco	Hombre	75	62	84	105	476
San Antonio	Hombre	72	60	82	105	3922
Viña del Mar	Mujer	83	72	90	108	13655
